Timestamp,,What Engineering program are you in?,What year are you in?,What is your gender?  **We're asking this to discover any gender biases in our questions**,"Are you happy with what your program provides you with (i.e. courses, job opportunities, projects, etc.)",What kind of problems do you enjoy solving?,Would you consider yourself as being creative?,"What industry can you see yourself working in, in the future? Select all that apply.",How comfortable are you working in the outdoors?,What can you see yourself doing in the future?,How do you feel about group work? ,What high school class did you enjoy the most?,What high school class did you enjoy the least?,How do you feel about computer programming?,What type of club would you consider joining?,What type of club would you NOT want to join?,What project would you want to be a part of? ,What project do you find the least interesting?,"If you could only watch one TV show for the rest of your life, what would it be?","If engineering didn’t exist, what would you consider studying?",How do you feel about working with expensive equipment?,How would you describe your drawing abilities?,You have an assignment to write an essay about anything you want. How does that make you feel?,Skill testing question: what is (4+2)x2 ?,What was the extent of your programming experience prior to entering Engineering at the University of Waterloo?
12/13/2019 18:51:03,uwaterloo.ca,Biomedical Engineering,4th year,Prefer not to say,No,Problems that require some investigation.,I am very creative.,Health (i.e. Creating technology for minimally invasive surgeries),I love the outdoors and wish I could work outside every day.,Optimizing processes.,I enjoy working with others.,Biology,Geography,I can code but it's not my favourite thing to do.,Art or design club (i.e. Fashion for Change),Business club (i.e. UW Finance Association),Prototyping a musical instrument for children with a disability.,Building the world’s most powerful supercomputer.,Planet Earth,Health Studies,"Could be cool, but I don't really care about fancy equipment or how much it costs.","Really good, I can draw just about anything.",Excited! I can share my theories with the world.,,
12/13/2019 10:40:53,uwaterloo.ca,Software Engineering,2nd year,Male,Yes,Problems that are well defined.,I am very creative.,Technology (i.e. Working with cloud based software),"Working outside would be okay, but only for short periods of time.",Programming apps.,I occasionally like working with others.,Computer Science,Geography,"I code, I enjoy it and I'm good at it.",Art or design club (i.e. Fashion for Change),Consulting club (i.e. DECA),Building the world’s most powerful supercomputer.,Designing a water treatment system for Mars.,Breaking Bad,Computer Science,That sounds cool!,"I am not the best, but I am not the worst.",Excited! I can share my theories with the world.,,
1/16/2020 11:34:30,uwaterloo.ca,Chemical Engineering,1st year,Female,Yes,Problems that require some investigation.,I am somewhat creative.,"Environment (i.e. Producing energy in sustainable ways), Technology (i.e. Working with cloud based software)",I love the outdoors and wish I could work outside every day.,Improving the way we use the world's resources.,I enjoy working with others.,Chemistry,Language Arts,I don't code but I am interested in trying it.,Student council (i.e. Engineering Society),Consulting club (i.e. DECA),Designing a water treatment system for Mars.,Optimizing the Uber Pool routes.,Myth Busters,Graphic Design,That sounds cool!,"I am not the best, but I am not the worst.",A bit apprehensive. I get overwhelmed with so many options.,,
1/22/2020 10:53:53,uwaterloo.ca,Electrical Engineering,2nd year,Male,Yes,Problems that are well defined.,I am very creative.,"Automotive (i.e. Designing a new autonomous car), Business (i.e. Starting your own consulting company), Health (i.e. Creating technology for minimally invasive surgeries), Environment (i.e. Producing energy in sustainable ways), Manufacturing (i.e. Optimization or automation of manufacturing processes), Technology (i.e. Working with cloud based software)",I would rather work inside.,Optimizing processes.,I occasionally like working with others.,Physics,Language Arts,"I code, I enjoy it and I'm good at it.",Robotics club (i.e. UW Robotics Team),Business club (i.e. UW Finance Association),Prototyping a musical instrument for children with a disability.,Designing an Olympic village.,Breaking Bad,Applied Science,"Could be cool, but I don't really care about fancy equipment or how much it costs.","I am not the best, but I am not the worst.",Annoyed. I would much rather be given a topic with clear instructions.,,
1/16/2020 12:35:00,edu.uwaterloo.ca,Nanotechnology Engineering,4th year,Female,Yes,Problems that require some investigation.,I am somewhat creative.,"Business (i.e. Starting your own consulting company), Health (i.e. Creating technology for minimally invasive surgeries)",I would rather work inside.,Making discoveries at the molecular level.,I occasionally like working with others.,Biology,Math,I can code but it's not my favourite thing to do.,Robotics club (i.e. UW Robotics Team),Business club (i.e. UW Finance Association),Designing a water treatment system for Mars.,Optimizing the Uber Pool routes.,Planet Earth,Applied Science,"Could be cool, but I don't really care about fancy equipment or how much it costs.","I am not the best, but I am not the worst.",Excited! I can share my theories with the world.,,
12/11/2019 21:47:37,uwaterloo.ca,Software Engineering,3rd year,Female,Yes,Problems that require some investigation.,I am somewhat creative.,"Business (i.e. Starting your own consulting company), Environment (i.e. Producing energy in sustainable ways), Technology (i.e. Working with cloud based software)",I love the outdoors and wish I could work outside every day.,Improving the way we use the world's resources.,I occasionally like working with others.,Computer Science,Biology,"I code, I enjoy it and I'm good at it.",Student council (i.e. Engineering Society),Art or design club (i.e. Fashion for Change),Building the world’s most powerful supercomputer.,Designing an Olympic village.,Silicon Valley,Computer Science,"Could be cool, but I don't really care about fancy equipment or how much it costs.",I am not very good.,Excited! I can share my theories with the world.,,
1/16/2020 12:14:17,edu.uwaterloo.ca,Mechatronics Engineering,1st year,Male,Yes,Problems that require some investigation.,I am somewhat creative.,Manufacturing (i.e. Optimization or automation of manufacturing processes),"Working outside would be okay, but only for short periods of time.",Designing or building sensor based technology.,I enjoy working with others.,Chemistry,Biology,"I code, I enjoy it and I'm good at it.",Robotics club (i.e. UW Robotics Team),Business club (i.e. UW Finance Association),Programming a robot that can make you dinner.,Prototyping a musical instrument for children with a disability.,Breaking Bad,Computer Science,"Could be cool, but I don't really care about fancy equipment or how much it costs.","I am not the best, but I am not the worst.",A bit apprehensive. I get overwhelmed with so many options.,,
1/16/2020 12:51:00,uwaterloo.ca,Mechatronics Engineering,3rd year,Male,Yes,Problems that require some investigation.,I am very creative.,"Health (i.e. Creating technology for minimally invasive surgeries), Environment (i.e. Producing energy in sustainable ways), Manufacturing (i.e. Optimization or automation of manufacturing processes), Technology (i.e. Working with cloud based software)",I would rather work inside.,Building things with moving parts.,I enjoy working with others.,Physics,Visual Arts,I can code but it's not my favourite thing to do.,Robotics club (i.e. UW Robotics Team),Autoshop club (i.e. Autonomoose Autonomous Car Club),Prototyping a musical instrument for children with a disability.,Optimizing the Uber Pool routes.,Breaking Bad,English Literature,"Could be cool, but I don't really care about fancy equipment or how much it costs.","I am not the best, but I am not the worst.",Annoyed. I would much rather be given a topic with clear instructions.,,
1/20/2020 16:22:43,edu.uwaterloo.ca,Environmental Engineering,1st year,Female,Yes,Problems that require some investigation.,I am somewhat creative.,"Architecture (i.e. Designing a building taller than the CN Tower), Environment (i.e. Producing energy in sustainable ways)",I love the outdoors and wish I could work outside every day.,Improving the way we use the world's resources.,I occasionally like working with others.,Language Arts,Biology,I can code but it's not my favourite thing to do.,Art or design club (i.e. Fashion for Change),Student council (i.e. Engineering Society),Designing a water treatment system for Mars.,Optimizing the Uber Pool routes.,Grey’s Anatomy,Political Science,That scares me and I don't want to touch it.,"I am not the best, but I am not the worst.",Excited! I can share my theories with the world.,,
1/16/2020 11:27:08,edu.uwaterloo.ca,Biomedical Engineering,2nd year,Male,No,Problems that require some investigation.,I am somewhat creative.,"Health (i.e. Creating technology for minimally invasive surgeries), Technology (i.e. Working with cloud based software)",I love the outdoors and wish I could work outside every day.,Designing or building sensor based technology.,I occasionally like working with others.,Math,Language Arts,"I code, I enjoy it and I'm good at it.",Robotics club (i.e. UW Robotics Team),Student council (i.e. Engineering Society),Prototyping a musical instrument for children with a disability.,Optimizing the Uber Pool routes.,Myth Busters,Health Studies,That sounds cool!,"I am not the best, but I am not the worst.",A bit apprehensive. I get overwhelmed with so many options.,,
1/16/2020 12:12:29,uwaterloo.ca,Biomedical Engineering,2nd year,Male,No,Problems that require some investigation.,I am somewhat creative.,"Health (i.e. Creating technology for minimally invasive surgeries), Technology (i.e. Working with cloud based software)",I love the outdoors and wish I could work outside every day.,Designing or building sensor based technology.,I occasionally like working with others.,Math,Language Arts,"I code, I enjoy it and I'm good at it.",Robotics club (i.e. UW Robotics Team),Student council (i.e. Engineering Society),Prototyping a musical instrument for children with a disability.,Optimizing the Uber Pool routes.,Myth Busters,Health Studies,That sounds cool!,"I am not the best, but I am not the worst.",A bit apprehensive. I get overwhelmed with so many options.,,
1/22/2020 10:49:19,uwaterloo.ca,Computer Engineering,2nd year,Male,Yes,Problems that require some investigation.,I am somewhat creative.,"Automotive (i.e. Designing a new autonomous car), Manufacturing (i.e. Optimization or automation of manufacturing processes), Technology (i.e. Working with cloud based software)",I love the outdoors and wish I could work outside every day.,Designing or building sensor based technology.,I enjoy working with others.,Chemistry,Biology,"I code, I enjoy it and I'm good at it.",Hacker club (i.e. UW Hacks),Business club (i.e. UW Finance Association),Building the world’s most powerful supercomputer.,Prototyping a musical instrument for children with a disability.,Silicon Valley,Computer Science,"Could be cool, but I don't really care about fancy equipment or how much it costs.",I am not very good.,A bit apprehensive. I get overwhelmed with so many options.,,
